,Tweet,HS,Abusive,HS_Individual,HS_Group,HS_Religion,HS_Race,HS_Physical,HS_Gender,HS_Other,HS_Weak,HS_Moderate,HS_Strong
0,di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok,1,1,1,0,0,0,0,0,1,1,0,0
1,rt pengguna pengguna siapa yang telat memberi tau kamu gue bergaul dengan cigax jifla calis sama siapa itu licew juga,0,1,0,0,0,0,0,0,0,0,0,0
2,41 kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter,0,0,0,0,0,0,0,0,0,0,0,0
3,pengguna pengguna aku itu aku ku tau matamu tapi dilihat dari mana itu aku,0,0,0,0,0,0,0,0,0,0,0,0
4,pengguna pengguna kaum sudah kelihatan dongoknya dari awal tambah lagi haha,1,1,0,1,1,0,0,0,0,0,1,0
5,pengguna ya dan kawan kawan,1,1,0,1,0,0,0,0,1,0,1,0
6,deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon,0,0,0,0,0,0,0,0,0,0,0,0
7,gue baru saja selesai re watch aldnoah zero paling memang akhirnya 2 karakter utama cowoknya kena friendzone bro xd uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
8,nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak mertuaku taipan 2 depan kembar baby amp romantika bank islam senawang,0,0,0,0,0,0,0,0,0,0,0,0
9,pengguna enak lagi kalau sambil,0,1,0,0,0,0,0,0,0,0,0,0
10,setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama kamu,1,1,1,0,0,0,0,0,1,1,0,0
11,pengguna pengguna pengguna pengguna kaleng malu tidak bisa jawab pertanyaan kami dari 2 hari lalu nyungsep koe pengguna uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
12,kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi pengguna,0,0,0,0,0,0,0,0,0,0,0,0
13,aktor huru hara 98 prabowo si ingin lengserkan pemerintahan jokowi nyata,1,0,1,0,0,0,0,0,1,1,0,0
14,pengguna bu guru enakan jadi atau guru sekolah dasar sih kayaknya menikmati jadi ini guru,1,1,1,0,0,0,0,1,0,1,0,0
15,pengguna pengguna pengguna pengguna pengguna pengguna lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing gue mengakui hadis nabi dan itu sahih kayak kamu pasti menolak makanya kamu ahlun nar,1,1,1,0,1,0,0,0,0,1,0,0
16,belakangan ini kok pikiran banget ya,0,0,0,0,0,0,0,0,0,0,0,0
17,ari sama beki adalah rapi,0,1,0,0,0,0,0,0,0,0,0,0
18,jadi cowok itu harus gantle kalau tidak gantle itu namanya,1,1,0,1,0,0,0,1,0,0,1,0
19,pengguna alga mnr bom,0,0,0,0,0,0,0,0,0,0,0,0
20,ya tapi gue jarang mengambek takut wkwk gue kan budak cinta,0,1,0,0,0,0,0,0,0,0,0,0
21,pengguna kalau kamu pasti peluang disakiti nya lebih gede sih,0,0,0,0,0,0,0,0,0,0,0,0
22,pengguna joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak,0,0,0,0,0,0,0,0,0,0,0,0
23,pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah 2018 damai,0,0,0,0,0,0,0,0,0,0,0,0
24,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan,0,0,0,0,0,0,0,0,0,0,0,0
25,siapapun gubernur dan presidennya rakyatnya ya kita juga,0,0,0,0,0,0,0,0,0,0,0,0
26,ini sih pengguna kerjaannya delay mulu,1,1,0,1,0,0,0,0,1,0,1,0
27,menurutku pintu sorga ada yaitu pintu sorga yang asli dan pintu hatimu modus banget,0,0,0,0,0,0,0,0,0,0,0,0
28,rt pengguna pengguna pengguna partai komunis indonesia hanya muncul jika jelang pemilihan kepala daerah dan pemilihan presiden karena digoreng sampai gosong,1,0,0,1,0,1,0,0,0,0,1,0
29,pengguna pengguna itu adalah sudah nenek nenek saya heran sama biasanya bohong terus,1,1,1,0,0,0,0,0,1,1,0,0
30,pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna islam nusantara produk jil dipasarkan dengan gencar oleh jil sementara jil anti arab tapi pro kata almarhum kh hasyim muzadi,1,0,0,1,1,0,0,0,0,0,1,0
31,dari habis sahur sampai jam 10 si bayi sudah empat kali sekarang rasanya lemas tak terkira,0,0,0,0,0,0,0,0,0,0,0,0
32,pengguna tidak kak emak adalah tidak suka sama yang wkwk,0,0,0,0,0,0,0,0,0,0,0,0
33,rt pengguna kelakuan jaman now saja sambil live di blued gay video gvid lokal hangat uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
34,pengguna tidak kak gue bukan orang jawa maaf ya gue orang palembang soalnya kakak saja deh yang belajar aksara jawa atau kelak mau belajar budaya palembang,0,0,0,0,0,0,0,0,0,0,0,0
35,pegawai guardian training lagi kayak mentang mentang gue kayak cuma kaos sama flat shoes bertanya dijutekin memang malas belinya juga kabur gue ke matahari,1,1,0,1,0,0,0,0,1,0,1,0
36,para yang telah melukai lady harus menerima ganjaran seratus kali lipat sanji selamat ulang tahun pelaut jkt48,0,1,0,0,0,0,0,0,0,0,0,0
37,ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota kediri,0,0,0,0,0,0,0,0,0,0,0,0
38,pengguna pengguna presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk rakyat bersama jokowi,0,0,0,0,0,0,0,0,0,0,0,0
39,memang tujuannya fabiano,0,1,0,0,0,0,0,0,0,0,0,0
40,tidak pernah mendalami al alquran ya bang pantas saja mulutnya kayak orang farhat abbas law,1,1,1,0,1,0,1,0,0,1,0,0
41,sangat terlihat beda sekali kewibawaannya yang sangat berwibawa cuma gubernur indonesia pengguna masya allah,0,0,0,0,0,0,0,0,0,0,0,0
42,baru kali ini lihat orang mau debat pilihan kepala daerah kerjanya menyerang karakter kecewa on kamu empok silvy and agus debat final pemilihan kepala daerah jakarta,1,1,0,1,0,0,0,0,1,0,1,0
43,gubernur zaman now gus ipul puti 2 ganjar yasin 1 djarot sihar 2 hasan anton 2 koster ace 1 nurdin sudirman 3 karolin gidot 2 rt pengguna keanekaragaman budaya suku agama itulah sesungguhnya kekayaan kita tutur djarot di hadapan peserta rakercabsu,0,0,0,0,0,0,0,0,0,0,0,0
44,pengguna pengguna apa iya islam itu tidak boleh di lokalisasi lah kristen saja mas ada nusantaranya mas lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda jawa ada huria kristen batak protestan juga kurang nusantara apa,0,0,0,0,0,0,0,0,0,0,0,0
45,ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah 2018 kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat,0,0,0,0,0,0,0,0,0,0,0,0
46,pengguna pengguna positif kok se positif respon masyarakat terhadap cangkul impor garam impor beras impor jagung impor tenaga kerja impor esemka impor uniform resource locator,0,0,0,0,0,0,0,0,0,0,0,0
47,pengguna pengguna pengguna pengguna kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu istilah sembahyang pun lahir dari tradisi ritus menyembahhyang yang tunggal sama dengan salat menyembah all,0,0,0,0,0,0,0,0,0,0,0,0
48,kamu pendidikan tinggi tapi tidak ada larang bawa agama biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok,1,1,1,0,0,0,0,0,1,1,0,0
49,pengguna pengguna ahok the best abaikan kaum otak micin,1,1,0,1,0,0,0,0,1,0,1,0
50,pengguna pengguna sih otak tempurung adalah tidak usah di meladeni semakin di lawan semakin belum dan dan kalau tidak begitu dia tidak makan hehe,1,1,1,0,0,0,0,0,1,1,0,0
51,pengguna awaasss jangan sampai beritanya sampai ke saudara gerung nanti susah mencari kosakatanya kalau bocor saja memicing mata bibir monyong kesamping suara keluar ky lagi nhn kentut politik kotor sekali zaman ini kalau tahu brt ini pulang sambil ky nhn ngeden,1,1,1,0,0,0,1,0,0,1,0,0
52,pinokio umur 3 tahunan itu 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
53,pengguna cerita silat lae semacam kho merah muda oh yang dari indonesia tapi liang ie shen penulis dari cina,0,0,0,0,0,0,0,0,0,0,0,0
54,rt pengguna benci sekali dengan umat islam,1,0,0,1,1,0,0,0,0,0,1,0
55,pengguna pengguna pengguna provokasi mayat politisasi agama penyebab kekalahan pilihan kepala daerah daerah khusus ibukota beginilah cara mendeskripsikan kekalahan junjungannya for your information ahok belum pernah ikut pemilihan apapun kecamatan jadi wakil dan dia bukanlah etnis mayoritas,1,1,1,0,0,1,0,0,0,1,0,0
56,pengguna dari pada gue,0,1,0,0,0,0,0,0,0,0,0,0
57,pengguna wkwk lowo,1,1,0,1,0,0,0,0,1,0,1,0
58,takabur bisa lahir dari siapa saja penguasa rakyat ulama maupun cendikia bahkan makhluk yang alim amp telah beribadah beratus ratus tahun dilaknat karena hasud takaburnya apalagi hanya seorang ahli ilmu filsafat yang tidak failosof mari kita demo diri sendi,0,0,0,0,0,0,0,0,0,0,0,0
59,a orang yang suka ke konser konser sedikit boros,0,0,0,0,0,0,0,0,0,0,0,0
60,sampai kapan makan racun banyak ulama yang mengatakan hukum rokok mubah dan ada juga,0,0,0,0,0,0,0,0,0,0,0,0
61,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat no 1 bisa bagus khofifah emil nomor satu,0,0,0,0,0,0,0,0,0,0,0,0
62,pengguna sudah biasa kali gue penggemar korea pop tapi kalau mengomong sama teman teman gue idol gue,1,1,1,0,0,0,0,1,0,1,0,0
63,saya suka video pengguna uniform resource locator awal kisah perseteruan haji bolot amp malih tongtong,0,0,0,0,0,0,0,0,0,0,0,0
64,budaya bersungguh kalau hal hal islam tidak diindahkan,0,0,0,0,0,0,0,0,0,0,0,0
65,pengguna pengguna pengguna pengguna lah lah lah hem hem semua diam semua kita coba tanya sama rumput yang bergoyang,0,0,0,0,0,0,0,0,0,0,0,0
66,apabila membisikkan was was kepadamu mintalah perlindungan kepada allah qs al a raf 200 dan fussilat 36,0,0,0,0,0,0,0,0,0,0,0,0
67,pengguna pengguna pengguna pengguna pengguna pengguna pengguna kalau kamu apa sibuk dengan agama orang,0,0,0,0,0,0,0,0,0,0,0,0
68,lengserkan jokowi,1,1,1,0,0,0,0,0,1,0,0,1
69,pengguna selamat hari kartini 2019 ganti presiden 2019 presiden baru,0,0,0,0,0,0,0,0,0,0,0,0
70,rt pengguna hati hati terhadap anak anak kita terutama di kamar mandi laki laki jangan biarkan sendiri uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
71,pengguna iya,1,1,1,0,0,0,0,0,1,1,0,0
72,pengguna karena budaya indonesia,0,0,0,0,0,0,0,0,0,0,0,0
73,pengguna yang mengajarkan salat a saja itu orang dia hanya ingin memecah belah islam,0,0,0,0,0,0,0,0,0,0,0,0
74,pengguna x kamu berbicara saja tidak benar,1,1,1,0,0,0,0,0,1,1,0,0
75,pengguna pengguna kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kasus kasus pembubaran sistem sistem beraja di negara kita kini untuk menjadikan sebagai negara republik padahal negara negara penjaja,0,0,0,0,0,0,0,0,0,0,0,0
76,tapi masih menikmati kebijakan yang dulu diusulkan partai komunis indonesia lah iya apa,1,0,0,1,0,1,0,0,0,0,1,0
77,kalau seumpama orang cina di usir paksa dari indonesia bagaimana,1,0,0,1,0,1,0,0,0,0,1,0
78,pengguna bunda yuk,0,1,0,0,0,0,0,0,0,0,0,0
79,rt pengguna cina cina maling usir cina hypertext transfer protocol over secure socket layer t co 9y4hiwhjp2,1,1,0,1,0,1,0,0,0,0,0,1
80,bung karno anti dan beliau dari jawa coba deh adakan konsensus lebih banyak mana jawa yang anti atau pro karena kebo ohannya kalau kami keliru kami tutup akun,0,0,0,0,0,0,0,0,0,0,0,0
81,proyek korupsi susilo bambang yudhoyono uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
82,pengguna wajar saja lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas setiap kali bicara,0,0,0,0,0,0,0,0,0,0,0,0
83,ab pribadi yang senang berkompetisi dalam hal yang baik dan positif,0,0,0,0,0,0,0,0,0,0,0,0
84,pengguna pengguna terus menurut kamu kitab suci agama apa yang di bilang om pengguna mendadak kalap,1,0,1,0,0,0,0,0,1,1,0,0
85,pengguna suka menutup mata tidak ditutup pun sudah terlihat tertutup gara gara,0,0,0,0,0,0,0,0,0,0,0,0
86,pengguna saya sebagai muslim tidak merasa pak pengguna menistakan kitab suci alquran an karena dalam alquran an sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam tetapi kami yaitu kata tersebut ada makna yang tersirat fiksi yang belum,0,0,0,0,0,0,0,0,0,0,0,0
87,pengguna eh kasar kamu,1,1,1,0,0,0,0,0,1,1,0,0
88,bentar lagi gue rilis album the si wkwk,0,0,0,0,0,0,0,0,0,0,0,0
89,pengguna ada bang dia merasa paling benar,1,1,1,0,0,0,0,0,1,1,0,0
90,banget gue mentwit apa barusan he,0,1,0,0,0,0,0,0,0,0,0,0
91,kamu atau bagaimana uniform resource locator,1,1,1,0,0,0,0,1,0,1,0,0
92,pengguna awas bintitan kamu mengintip kucing,0,1,0,0,0,0,0,0,0,0,0,0
93,pengguna pengguna bawel bawa perasaan bolot baik bodor enggak jelas wkwk apa ya sudah itu saja deh,0,1,0,0,0,0,0,0,0,0,0,0
94,pengguna pengguna pengguna pengguna gue menyarankan tidak perlu banyak maling ayat langsung to the point saja kamu jadi orang yang tidak sepaham kamu teriaki saja sesat liberal pemuja dukun bla blaaa pasti hatimu puas deh,1,1,1,0,1,0,0,0,0,1,0,0
95,jangan salah target bukan ahok agenda utama lengserkan jokowi,1,0,1,0,0,0,0,0,1,0,0,1
96,pengguna pengguna masa baru kena tagar saja sudah kepanasan ingin tahu banget 2019 ganti presiden,1,0,1,0,0,0,0,0,1,1,0,0
97,maju kamu sini duit tapi kamu goyang kaki tak buat pape mana lah duit nak maju kat kamu uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
98,pengguna huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belanda dulu tidak ada yang namanya kristen protestan yang ada cuma kristen katolik terjadilah perpecahan dan berdirilah huria kristen batak protestan yang pertama kali di tarutung nah sekarang anda saya k,0,0,0,0,0,0,0,0,0,0,0,0
99,apa apa banyak baca biar pintar jepang amerika cina utang sama siapa anda tau tidak,0,0,0,0,0,0,0,0,0,0,0,0
100,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,1,0,1,0,0,0,0,0,1,1,0,0
101,pengguna pengguna dan yang takut dengan azan adalah,0,0,0,0,0,0,0,0,0,0,0,0
102,pengguna pengguna yang itu adalah tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus propaganda nasi bungkus memang selalu gagal,1,1,0,1,0,0,0,0,1,0,1,0
103,pengguna pengguna pengguna pengguna wah sewot,1,1,1,0,0,0,0,0,1,1,0,0
104,2 gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,0,0,0,0,0,0,0,0,0,0,0,0
105,padahal gubernur saat ini djarot mayoritas partai politik di dewan perwakilan rakyat daerah juga pendukung ahok djarot payah ya mereka pengguna uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
106,pengguna rusak bukan memperbaiki sistemnya malah sibuk cari cari kesalahan kalau itu pasti ketemu saja komisi pemberantasan korupsi alatnya besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi orangnya,0,0,0,0,0,0,0,0,0,0,0,0
107,saat orang orang saling menuding sesungguhnya bertepuk tangan,0,0,0,0,0,0,0,0,0,0,0,0
108,pengguna nah lah katanya anti,0,0,0,0,0,0,0,0,0,0,0,0
109,selamat pak pengguna semoga bisa terus berkiprah bahkan tingkat nasional,0,0,0,0,0,0,0,0,0,0,0,0
110,asyik menang saya sih ikut ulama saja,0,0,0,0,0,0,0,0,0,0,0,0
111,pengguna yang saya ketahui bahwa diketapang banyak tenaga kerja asing yang bekerja di berbagai perusahaan termasuk pt who tambang bauksit yang viral saat pemilihan presiden dulu dan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak,0,0,0,0,0,0,0,0,0,0,0,0
112,pengguna anak tidak jauh jauh dari hobi zina haha,1,1,1,0,0,0,0,1,0,1,0,0
113,pengguna aku bom surat berharga syariah negara,0,0,0,0,0,0,0,0,0,0,0,0
114,pengguna istirahat saja pak presiden momentum sudah berlalu saya pernah jadi saksi telinga dan mata awal rapat pembentukan pada di pacitan tahun 2003,0,0,0,0,0,0,0,0,0,0,0,0
115,pada 1979 house select committee on assassination hsca menemukan investigasi yang dilakukan fbi dan warren commission hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya,0,0,0,0,0,0,0,0,0,0,0,0
116,pengguna tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pemilihan presiden acara tahunan negara indonesia untuk memilih presiden semoga senantiasa berjalan aman dan lancar amin,0,0,0,0,0,0,0,0,0,0,0,0
117,pengguna ian,0,1,0,0,0,0,0,0,0,0,0,0
118,pengguna pengguna mengakuinya orang pintar dan beragama memangnya agama mana yang memperbolehkan menista dan menghujat orang lain jangankan orang orang yang maaf sejak lahir sekalipun dia kita harus hargai sebagai sesama ciptaan tuhan ingat itu juga pintar dan sangat licik,0,1,0,0,0,0,0,0,0,0,0,0
119,pendaftaran calon presiden untuk pemilihan presiden 2019 saja belum dibuka sampai agustus 2018 yang normatif begini politikus partai demokrasi indonesia perjuangan masih belum paham 2019 ganti presiden,1,0,0,1,0,0,0,0,1,0,1,0
120,sih sudah tau pemerintah ini bobrok koruptor bisa pimpinan sidang dewan perwakilan rakyat paya uniform resource locator,1,1,1,0,0,1,0,0,0,1,0,0
121,dari dulu kenapa bapak gue kalau ke mantan mantan gue selalu merasa sedih sampai kepikiran dan tidak bisa tidur lo dan gue merasa jadi anak yang saja begitu ke laki laki,0,1,0,0,0,0,0,0,0,0,0,0
122,cina perusak bangsa usir setuju,1,0,0,1,0,1,0,0,0,0,0,1
123,2019 ganti presiden secara konstitusional hak setiap rakyat woiii begini nih kalau plonga plongo tapi kelakuan otoriter,1,1,1,0,0,0,0,0,1,1,0,0
124,mari kita wujudkan pilihan kepala daerah kota bengkulu 2018 aman dan damai coki adem86 98heru,0,0,0,0,0,0,0,0,0,0,0,0
125,mau tanya serius ini sama presiden jokowi kenapa yang ada cuma islam nusantara kenapa tidak ada kristen nusantara buddha hindu bahkan kong hucu nusantara,0,0,0,0,0,0,0,0,0,0,0,0
126,kebersamaan pernyataan moeldoko bukti istana takut dengan kebangkitan umat islam,0,0,0,0,0,0,0,0,0,0,0,0
127,cowok yang jago drasex mana sini sama adik luvian,0,1,0,0,0,0,0,0,0,0,0,0
128,pengguna kroasia itu tau apa belajar sama sudah lupa sama kapling sorga,1,1,0,1,1,0,0,0,0,0,1,0
129,pengguna pengguna lah bukan nya menteri soeharto ada yang,1,1,1,0,0,0,0,1,0,1,0,0
130,gue tau lah bukan yang dulu yang masih dan takut semua orang pasti akan berubah perlahan lahan entah itu baik buruk,0,0,0,0,0,0,0,0,0,0,0,0
131,pada perang salib dulu itu kerajaan di afrika terbagi dua yakni babilonia pemeluk kristen dan tobaco pemeluk islam,0,0,0,0,0,0,0,0,0,0,0,0
132,kejar setoran memang cukup mana rupiah turun,1,1,1,0,0,0,0,0,1,1,0,0
133,semoga ini ada tindak lanjutnya pelaporan terhadap penista agama adek armando akan dilakukan langsung oleh ketua umum front pembela islam kh shobri lubis ke badan reserse kriminal markas besar kepolisian republik indonesia gambir jakarta pusat pada selasa 10 4 pukul 13 00 waktu indonesia bagian barat perhaps pengguna,1,0,1,0,1,0,0,0,0,1,0,0
134,pengguna pengguna pengguna pengguna pengguna pengguna pengguna pengguna hajar,1,1,1,0,0,0,0,0,1,0,0,1
135,pengguna pengguna pengguna mati kalau kebanyakan minum,1,0,0,1,0,0,0,0,1,0,1,0
136,uniform resource locator ahok tng mereka terus was was hidupnya pengguna pengguna pengguna pengguna pengguna pengguna pengguna,1,0,1,0,0,0,0,0,1,1,0,0
137,itu baru di sul teng ini ekses akibat tersandera hutang cina 2019 ganti presiden 2019 presiden baru 2019 tetap jokowi ganti,1,0,1,0,0,0,0,0,1,1,0,0
138,6 pride yunani hyper phania keangkuhan harga diri kesombongan dikenal juga dengan sebutan hubris vanity harga diri yang tinggi dapat mengubah manusia sombong kesombongan membuat manusia dimata tuhan dan dapat membuat manusia mencintai dirinya sendiri,0,0,0,0,0,0,0,0,0,0,0,0
139,aku bertanya tujuan pada hati logikaku yang menjawab tapi hati tak tenang aku bertanya pada logika hatiku sedih ku cari jawaban dalam wasiat yang beliau tinggalkan dan aku mulai menjadi terasing dan di mata manusia tak apa duhai diri ada,0,0,0,0,0,0,0,0,0,0,0,0
140,pengguna tak hanya kurang bertaji nya komisi pemberantasan korupsi era ini tapi era ini juga komitmen dalam pemberantasan korupsi tidak surat pemberitahuan tahunan di era pak susilo bambang yudhoyono,1,0,0,1,0,0,0,0,1,0,1,0
141,rt pengguna admin di partai partai untuk orang,1,1,0,1,0,0,0,0,1,0,1,0
142,rt pengguna ayu ting ting goyang hot dekat raffi ahmad nagita slavina norak uniform resource locator,0,1,0,0,0,0,0,0,0,0,0,0
143,video tentang tenaga kerja asing dibuat oleh malaysia tapi mengutip pernyataan saya di pengguna,0,0,0,0,0,0,0,0,0,0,0,0
144,ppp jangan buru buru tolak wacana pilihan kepala daerah lewat dewan perwakilan rakyat daerah,0,0,0,0,0,0,0,0,0,0,0,0
145,random pagi pagi ada bapak bapak menyamper ke meja kerja terus bertanya pakai bedak apa sih biar mukanya bersih istri saya butek soalnya ingin ku jawab pakai air wudhu tapi ku kristen,0,0,0,0,0,0,0,0,0,0,0,0
146,pengguna pengguna kok gue,0,1,0,0,0,0,0,0,0,0,0,0
147,ingin disodok gede,0,1,0,0,0,0,0,0,0,0,0,0
148,jokowi saja yang mundur pengguna tutup uniform resource locator,1,0,1,0,0,0,0,0,1,1,0,0
